province,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,31-Mar-20,1-Apr-20,2-Apr-20,3-Apr-20,4-Apr-20,5-Apr-20,6-Apr-20,7-Apr-20,8-Apr-20,9-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20,18-Apr-20,19-Apr-20,20-Apr-20,21-Apr-20,22-Apr-20,23-Apr-20,24-Apr-20,25-Apr-20,26-Apr-20,27-Apr-20,28-Apr-20,29-Apr-20,30-Apr-20,1-May-20,2-May-20,3-May-20,4-May-20,5-May-20,6-May-20
Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Cape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,13,13,13,13,16
North West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,20,20,20,20,20
Mpumalanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,9,9,9,9,14,14,14,15,15,15,15,15,15,15,15,15,18,18,22,22,22
Limpopo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,18,18,18,18,21,21,21,24,24,24,24,24,25,25,25,25,25,25,27,27,27
Eastern Cape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,9,9,9,9,15,15,15,19,19,19,19,19,19,19,19,19,275,275,341,341,388
Free State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,61,61,61,61,71,71,71,71,74,74,74,76,76,76,76,76,76,76,76,76,96,96,96,96,102
KwaZulu- Natal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,96,96,96,96,151,151,151,241,241,241,241,241,241,241,241,241,375,375,415,415,420
Western Cape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,152,152,152,152,152,205,205,205,205,216,216,216,236,236,236,236,236,236,236,236,236,779,779,833,833,1122
Gauteng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,157,157,157,157,157,479,479,479,479,545,545,545,843,843,843,843,843,843,843,843,843,948,948,979,979,1036
